learner_id,split
sim-learner-000001,train
sim-learner-000002,test
sim-learner-000003,train
sim-learner-000004,train
sim-learner-000005,validation
sim-learner-000006,test
sim-learner-000007,train
sim-learner-000008,train
sim-learner-000009,train
sim-learner-000010,train
sim-learner-000011,test
sim-learner-000012,train
sim-learner-000013,train
sim-learner-000014,validation
sim-learner-000015,train
sim-learner-000016,test
sim-learner-000017,train
sim-learner-000018,train
sim-learner-000019,validation
sim-learner-000020,train
sim-learner-000021,train
sim-learner-000022,train
sim-learner-000023,train
sim-learner-000024,train
sim-learner-000025,train
sim-learner-000026,train
sim-learner-000027,train
sim-learner-000028,train
sim-learner-000029,train
sim-learner-000030,train
sim-learner-000031,train
sim-learner-000032,train
sim-learner-000033,validation
sim-learner-000034,train
sim-learner-000035,test
sim-learner-000036,train
sim-learner-000037,train
sim-learner-000038,validation
sim-learner-000039,train
sim-learner-000040,test
sim-learner-000041,train
sim-learner-000042,test
sim-learner-000043,test
sim-learner-000044,train
sim-learner-000045,train
sim-learner-000046,train
sim-learner-000047,train
sim-learner-000048,train
sim-learner-000049,train
sim-learner-000050,test
sim-learner-000051,train
sim-learner-000052,train
sim-learner-000053,validation
sim-learner-000054,train
sim-learner-000055,train
sim-learner-000056,train
sim-learner-000057,train
sim-learner-000058,test
sim-learner-000059,train
sim-learner-000060,train
sim-learner-000061,train
sim-learner-000062,train
sim-learner-000063,train
sim-learner-000064,test
sim-learner-000065,train
sim-learner-000066,test
sim-learner-000067,train
sim-learner-000068,train
sim-learner-000069,train
sim-learner-000070,test
sim-learner-000071,validation
sim-learner-000072,train
sim-learner-000073,train
sim-learner-000074,train
sim-learner-000075,train
sim-learner-000076,train
sim-learner-000077,test
sim-learner-000078,train
sim-learner-000079,validation
sim-learner-000080,train
sim-learner-000081,train
sim-learner-000082,validation
sim-learner-000083,train
sim-learner-000084,train
sim-learner-000085,train
sim-learner-000086,train
sim-learner-000087,train
sim-learner-000088,test
sim-learner-000089,train
sim-learner-000090,train
sim-learner-000091,train
sim-learner-000092,train
sim-learner-000093,train
sim-learner-000094,validation
sim-learner-000095,validation
sim-learner-000096,validation
sim-learner-000097,train
sim-learner-000098,train
sim-learner-000099,train
sim-learner-000100,train
sim-learner-000101,train
sim-learner-000102,train
sim-learner-000103,test
sim-learner-000104,train
sim-learner-000105,train
sim-learner-000106,validation
sim-learner-000107,validation
sim-learner-000108,train
sim-learner-000109,train
sim-learner-000110,validation
sim-learner-000111,train
sim-learner-000112,test
sim-learner-000113,validation
sim-learner-000114,test
sim-learner-000115,test
sim-learner-000116,train
sim-learner-000117,train
sim-learner-000118,test
sim-learner-000119,train
sim-learner-000120,train
sim-learner-000121,train
sim-learner-000122,train
sim-learner-000123,validation
sim-learner-000124,test
sim-learner-000125,train
sim-learner-000126,train
sim-learner-000127,train
sim-learner-000128,train
sim-learner-000129,train
sim-learner-000130,train
sim-learner-000131,train
sim-learner-000132,train
sim-learner-000133,train
sim-learner-000134,train
sim-learner-000135,train
sim-learner-000136,train
sim-learner-000137,train
sim-learner-000138,test
sim-learner-000139,train
sim-learner-000140,train
sim-learner-000141,train
sim-learner-000142,test
sim-learner-000143,train
sim-learner-000144,train
sim-learner-000145,train
sim-learner-000146,train
sim-learner-000147,train
sim-learner-000148,train
sim-learner-000149,train
sim-learner-000150,validation
sim-learner-000151,train
sim-learner-000152,train
sim-learner-000153,train
sim-learner-000154,train
sim-learner-000155,train
sim-learner-000156,train
sim-learner-000157,train
sim-learner-000158,validation
sim-learner-000159,validation
sim-learner-000160,train
sim-learner-000161,train
sim-learner-000162,validation
sim-learner-000163,train
sim-learner-000164,train
sim-learner-000165,train
sim-learner-000166,validation
sim-learner-000167,train
sim-learner-000168,test
sim-learner-000169,train
sim-learner-000170,train
sim-learner-000171,test
sim-learner-000172,train
sim-learner-000173,train
sim-learner-000174,train
sim-learner-000175,train
sim-learner-000176,validation
sim-learner-000177,train
sim-learner-000178,test
sim-learner-000179,train
sim-learner-000180,train
sim-learner-000181,train
sim-learner-000182,validation
sim-learner-000183,test
sim-learner-000184,train
sim-learner-000185,train
sim-learner-000186,train
sim-learner-000187,validation
sim-learner-000188,test
sim-learner-000189,test
sim-learner-000190,test
sim-learner-000191,validation
sim-learner-000192,train
sim-learner-000193,train
sim-learner-000194,train
sim-learner-000195,train
sim-learner-000196,test
sim-learner-000197,train
sim-learner-000198,train
sim-learner-000199,train
sim-learner-000200,train
sim-learner-000201,train
sim-learner-000202,train
sim-learner-000203,train
sim-learner-000204,train
sim-learner-000205,train
sim-learner-000206,validation
sim-learner-000207,train
sim-learner-000208,validation
sim-learner-000209,train
sim-learner-000210,validation
sim-learner-000211,train
sim-learner-000212,train
sim-learner-000213,test
sim-learner-000214,train
sim-learner-000215,validation
sim-learner-000216,train
sim-learner-000217,validation
sim-learner-000218,train
sim-learner-000219,train
sim-learner-000220,train
sim-learner-000221,train
sim-learner-000222,test
sim-learner-000223,train
sim-learner-000224,validation
sim-learner-000225,train
sim-learner-000226,train
sim-learner-000227,train
sim-learner-000228,validation
sim-learner-000229,train
sim-learner-000230,train
sim-learner-000231,train
sim-learner-000232,train
sim-learner-000233,train
sim-learner-000234,validation
sim-learner-000235,train
sim-learner-000236,train
sim-learner-000237,train
sim-learner-000238,train
sim-learner-000239,train
sim-learner-000240,train
sim-learner-000241,validation
sim-learner-000242,train
sim-learner-000243,train
sim-learner-000244,train
sim-learner-000245,train
sim-learner-000246,train
sim-learner-000247,train
sim-learner-000248,train
sim-learner-000249,train
sim-learner-000250,train
sim-learner-000251,train
sim-learner-000252,validation
sim-learner-000253,train
sim-learner-000254,train
sim-learner-000255,train
sim-learner-000256,validation
sim-learner-000257,train
sim-learner-000258,validation
sim-learner-000259,train
sim-learner-000260,train
sim-learner-000261,train
sim-learner-000262,train
sim-learner-000263,train
sim-learner-000264,validation
sim-learner-000265,train
sim-learner-000266,train
sim-learner-000267,validation
sim-learner-000268,validation
sim-learner-000269,train
sim-learner-000270,train
sim-learner-000271,validation
sim-learner-000272,train
sim-learner-000273,test
sim-learner-000274,train
sim-learner-000275,train
sim-learner-000276,test
sim-learner-000277,train
sim-learner-000278,test
sim-learner-000279,train
sim-learner-000280,test
sim-learner-000281,train
sim-learner-000282,train
sim-learner-000283,train
sim-learner-000284,train
sim-learner-000285,train
sim-learner-000286,train
sim-learner-000287,test
sim-learner-000288,test
sim-learner-000289,train
sim-learner-000290,train
sim-learner-000291,test
sim-learner-000292,validation
sim-learner-000293,train
sim-learner-000294,train
sim-learner-000295,train
sim-learner-000296,train
sim-learner-000297,test
sim-learner-000298,train
sim-learner-000299,train
sim-learner-000300,train
sim-learner-000301,test
sim-learner-000302,test
sim-learner-000303,train
sim-learner-000304,test
sim-learner-000305,train
sim-learner-000306,train
sim-learner-000307,train
sim-learner-000308,train
sim-learner-000309,train
sim-learner-000310,train
